LNMIIT Official Website,https://www.lnmiit.ac.in/,1
Scholarship Policy,https://admissions.lnmiit.ac.in/ug/Scholarship-Assistantship.html,2
Fee Structure-UG Admissions,https://www.lnmiit.ac.in/Admissions/ugadmissions/Fee_Structure.html,3
Training and Placement Cell,https://placements.lnmiit.ac.in/,5
Computer Society of India-LNMIIT,https://csi.lnmiit.ac.in/,6
New UG Admission Portal,https://erp.lnmiit.ac.in/ugadm,7
MIS Portal,https://erp.lnmiit.ac.in/mis/,8
BELOW SITES WILL ONLY WORK ON LNMIIT LAN/WIFI,na,na
CSE Website,https://172.22.1.97,9
Internet Login Portal,https://172.22.2.6/connect/PortalMain,10
FTP Server,https://172.22.1.97,11